with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 8527, eff_muTau = 0.9
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8167, eff_muTau = 0.86
with  tauTau && (HLT_ditau || HLT_singleTau || HLT_MET) : n_tauTau = 8048, eff_tauTau = 0.48
with  tauTau && (HLT_ditau || HLT_singleTau) : n_tauTau = 7177, eff_tauTau = 0.43
with  tauTau && (HLT_ditau) : n_tauTau = 6526, eff_tauTau = 0.39
with  tauTau && (HLT_ditau || HLT_MET) : n_tauTau = 7424, eff_tauTau = 0.44
GluGluToRadionToHHTo2B2Tau_M-650
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau || HLT_MET) : n_eTau = 6886, eff_eTau = 0.8
with  eTau && (HLT_singleEle || HLT_etau || HLT_singleTau) : n_eTau = 6308, eff_eTau = 0.73
with  eTau && (HLT_singleEle || HLT_etau) : n_eTau = 6186, eff_eTau = 0.72
with  eTau && (HLT_singleEle || HLT_etau || HLT_MET) : n_eTau = 6773, eff_eTau = 0.79
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9210, eff_muTau = 0.92
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau || HLT_MET) : n_muTau = 9173, eff_muTau = 0.92
with  muTau && (HLT_singleMu || HLT_mutau || HLT_singleTau) : n_muTau = 8745, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_mutau || HLT_MET) : n_muTau = 9124, eff_muTau = 0.91
with  muTau && (HLT_singleMu || HLT_mutau) : n_muTau = 8687, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_mutau) : n_muTau = 8737, eff_muTau = 0.87
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_singleTau || HLT_mutau) : n_muTau = 8791, eff_muTau = 0.88
with  muTau && (HLT_singleMu || HLT_singleMu50 || HLT_MET || HLT_mutau) : n_muTau = 9165, eff_muTau = 0.91
